eps1, min_samples1, n_clusters_, n_noise_
1, 12, 1, 897
1, 13, 0, 909
1, 14, 0, 909
1, 15, 0, 909
1, 16, 0, 909
1, 17, 0, 909
1, 18, 0, 909
1, 19, 0, 909
11, 1, 416, 0
11, 2, 139, 277
11, 3, 70, 415
11, 4, 35, 527
11, 5, 26, 566
11, 6, 17, 611
11, 7, 11, 650
11, 8, 10, 664
11, 9, 10, 667
11, 10, 6, 707
11, 11, 5, 718
11, 12, 4, 739
11, 13, 4, 739
11, 14, 4, 739
11, 15, 3, 753
11, 16, 3, 753
11, 17, 3, 753
11, 18, 2, 770
11, 19, 2, 770
21, 1, 345, 0
21, 2, 136, 209
21, 3, 73, 335
21, 4, 43, 427
21, 5, 25, 504
21, 6, 17, 547
21, 7, 17, 561
21, 8, 14, 583
21, 9, 13, 603
21, 10, 10, 635
21, 11, 9, 646
21, 12, 8, 659
21, 13, 7, 675
21, 14, 6, 688
21, 15, 5, 705
21, 16, 4, 721
21, 17, 4, 721
21, 18, 3, 740
21, 19, 3, 740
31, 1, 313, 0
31, 2, 133, 180
31, 3, 71, 304
31, 4, 46, 381
31, 5, 27, 460
31, 6, 18, 510
31, 7, 16, 522
31, 8, 14, 546
31, 9, 13, 554
31, 10, 11, 577
31, 11, 10, 593
31, 12, 9, 614
31, 13, 8, 626
31, 14, 7, 639
31, 15, 7, 653
31, 16, 7, 660
31, 17, 7, 661
31, 18, 5, 696
31, 19, 3, 732
41, 1, 287, 0
41, 2, 131, 156
41, 3, 75, 268
41, 4, 48, 352
41, 5, 32, 418
41, 6, 25, 455
41, 7, 18, 497
41, 8, 14, 525
41, 9, 14, 525
41, 10, 12, 543
41, 11, 12, 561
41, 12, 11, 566
41, 13, 12, 566
41, 14, 12, 579
41, 15, 10, 599
41, 16, 8, 623
41, 17, 7, 640
41, 18, 5, 674
41, 19, 5, 674
51, 1, 272, 0
51, 2, 130, 142
51, 3, 75, 252
51, 4, 48, 334
51, 5, 33, 395
51, 6, 23, 449
51, 7, 18, 481
51, 8, 14, 514
51, 9, 14, 514
51, 10, 11, 542
51, 11, 10, 552
51, 12, 11, 554
51, 13, 11, 556
51, 14, 10, 571
51, 15, 9, 585
51, 16, 8, 610
51, 17, 8, 616
51, 18, 7, 633
51, 19, 7, 633
61, 1, 254, 0
61, 2, 126, 128
61, 3, 71, 238
61, 4, 47, 314
61, 5, 34, 366
61, 6, 26, 411
61, 7, 20, 447
61, 8, 13, 497
61, 9, 12, 510
61, 10, 10, 529
61, 11, 10, 529
