person_w_disabilty___1,person_w_disabilty___2,person_w_disabilty___3,person_w_disabilty___4,person_w_disabilty___5,person_w_disabilty___6,person_w_disabilty___7,activities_access___1,activities_access___2,activities_access___3,activities_access___4,activities_access___5,activities_access___6,income,age,zip_cd
0,1,0,0,0,0,0,1,0,0,0,0,0,2,4,80005
1,0,0,1,0,0,0,1,0,0,0,0,0,6,8,15131
0,1,1,0,0,0,0,1,0,0,0,0,0,4,4,8876
1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,15213
0,1,1,1,1,1,0,1,0,0,0,0,0,1,8,8822
0,0,0,1,0,0,0,1,0,0,0,0,0,3,4,99502
1,1,0,0,0,0,0,1,0,0,0,0,0,4,5,99504
0,0,0,1,0,0,0,1,0,0,0,0,0,3,4,99503
1,0,1,0,0,0,0,1,0,0,0,0,0,3,3,48317
0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,90670
1,0,1,0,0,0,0,1,0,0,0,0,0,3,3,98122
0,0,0,1,1,0,0,1,0,0,0,0,0,0,8,65203
0,0,1,0,0,0,0,1,0,0,0,0,0,3,7,58533
0,0,1,0,0,0,0,1,0,0,0,0,0,3,7,60614
0,0,1,0,0,0,0,1,0,0,0,0,0,3,7,37029
0,0,0,1,0,0,0,1,0,0,0,0,0,4,6,85042
0,0,0,1,0,0,0,1,0,0,0,0,0,4,7,16509
0,0,0,1,1,0,0,1,0,0,0,0,0,1,3,15642
0,0,1,0,0,1,0,1,0,0,0,0,0,2,6,65203
1,0,0,0,0,0,1,1,0,0,0,0,0,6,8,15010
0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,15701
0,0,0,0,0,0,1,1,0,0,0,0,0,2,8,15668
0,0,0,0,0,0,1,1,0,0,0,0,0,4,7,15243
0,0,0,0,0,0,1,1,0,0,0,0,0,6,7,15212
0,0,0,1,0,1,0,1,0,0,0,0,0,0,7,16101
0,0,0,0,0,0,1,1,0,0,0,0,0,4,7,15478
0,0,0,1,0,0,0,1,0,0,0,0,0,6,7,60502
0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,60901
0,0,0,1,0,0,0,1,0,0,0,0,0,6,7,60502
1,0,0,1,0,0,0,1,0,0,0,0,0,2,6,60644
0,0,0,1,1,1,1,1,0,0,0,0,0,5,6,60453
0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,60640
0,0,1,0,0,0,0,1,0,0,0,0,0,5,4,60120
1,0,0,1,0,1,0,1,0,0,0,0,0,0,6,61371
0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,85281
0,0,1,1,1,1,0,1,0,0,0,0,0,4,7,15670
0,0,0,1,0,0,0,1,0,0,0,0,0,3,6,97470
0,0,0,1,0,0,0,1,0,0,0,0,0,4,7,15122
0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,55313
1,1,1,1,0,0,0,0,1,0,0,0,0,2,3,14580
0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,8901
0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,37203
0,0,0,1,0,0,0,0,1,0,0,0,0,4,3,99503
0,1,1,0,0,0,0,0,1,0,0,0,0,3,4,99501
0,0,0,1,0,0,0,0,1,0,0,0,0,4,5,99502
0,0,1,1,0,0,0,0,1,0,0,0,0,3,4,99502
0,0,0,1,0,0,0,0,1,0,0,0,0,3,3,99501
0,0,1,0,0,0,0,0,1,0,0,0,0,3,4,11701
0,0,1,0,0,0,0,0,1,0,0,0,0,4,3,14094
0,0,1,0,0,0,0,0,1,0,0,0,0,2,7,78628
0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,7514
0,0,1,0,0,1,0,0,1,0,0,0,0,0,3,8831
1,0,0,0,0,0,0,0,1,0,0,0,0,4,7,73507
0,0,1,1,0,0,0,1,1,0,0,0,0,3,5,8837
0,0,0,1,1,0,0,1,1,0,0,0,0,4,3,99501
0,0,0,1,0,0,0,1,1,0,0,0,0,4,3,99502
0,0,1,0,0,0,0,1,1,0,0,0,0,3,3,99504
0,1,0,0,0,0,0,1,1,0,0,0,0,4,4,99504
0,0,1,1,0,0,0,1,1,0,0,0,0,3,4,99503
0,1,0,0,0,0,0,1,1,0,0,0,0,4,3,99502
0,0,0,1,0,0,0,1,1,0,0,0,0,4,3,99503
0,0,1,1,0,0,0,1,1,0,0,0,0,4,3,99503
0,0,0,1,0,0,0,1,1,0,0,0,0,5,3,99501
0,1,0,1,0,0,0,1,1,0,0,0,0,4,4,68967
1,0,1,0,0,0,0,1,1,0,0,0,0,4,4,61761
0,0,0,1,0,0,0,1,1,0,0,0,0,5,4,90001
