zip_cd,sum * 10k
0,50000
0,10000
0,50000
0,50000
0,10000
0,50000
0,30000
0,10000
0,40000
0,40000
0,20000
0,10000
0,50000
0,50000
0,20000
0,50000
0,40000
0,50000
623,20000
1077,10000
1603,10000
1776,20000
1776,20000
1852,30000
1862,50000
2038,10000
2356,50000
2906,30000
3055,20000
3064,30000
3104,10000
5401,20000
6040,20000
6351,50000
6415,20000
6492,50000
6516,10000
7001,30000
7003,20000
7006,10000
7016,40000
7018,30000
7018,10000
7018,20000
7018,10000
7024,50000
7028,30000
7030,10000
7032,50000
7035,50000
7036,40000
7039,20000
7039,50000
7044,30000
7054,10000
7070,20000
7109,50000
7111,40000
7307,20000
7405,20000
7417,20000
7421,30000
7444,40000
7460,10000
7461,20000
7461,10000
7461,10000
7461,50000
7470,10000
7514,10000
7601,30000
7603,10000
7631,10000
7631,20000
7640,20000
7663,20000
7666,50000
7712,20000
7716,50000
7726,30000
7737,20000
7747,30000
7753,40000
7762,10000
7834,50000
7834,50000
7852,50000
7920,10000
7920,30000
7922,20000
7924,40000
7928,10000
7950,10000
7960,10000
8033,20000
8046,50000
8051,20000
8053,10000
8054,20000
8055,20000
8057,20000
8066,30000
8075,20000
8077,20000
8083,20000
8088,10000
8088,10000
8205,10000
8225,50000
8230,50000
8318,10000
8334,10000
8501,20000
8501,10000
8540,30000
8542,50000
8550,30000
8560,10000
8619,50000
8691,10000
8723,40000
8734,10000
8751,10000
8751,10000
8753,10000
8755,50000
8757,50000
8759,20000
8816,70000
8817,20000
8817,30000
8822,0
8822,30000
8825,50000
8831,10000
8831,40000
8831,50000
8831,10000
8837,10000
8840,70000
8854,10000
8857,30000
8861,10000
8873,20000
8876,30000
8876,10000
8876,50000
8879,50000
8882,10000
8882,10000
8886,20000
8889,50000
8901,40000
8902,50000
10001,30000
10003,40000
10027,50000
10038,10000
10310,40000
10314,20000
10314,10000
10451,30000
10472,40000
10701,20000
10701,40000
10901,10000
11105,20000
11201,10000
11201,40000
11214,50000
11230,30000
11234,20000
11249,30000
11358,30000
11373,30000
11377,10000
11377,10000
11554,30000
11572,40000
11691,50000
11691,50000
11701,10000
11702,50000
11717,20000
11754,20000
11758,50000
12047,20000
12180,10000
12203,20000
12203,30000
12206,10000
13118,40000
13323,50000
13350,30000
13501,10000
13850,10000
13850,20000
14094,30000
14580,50000
14710,20000
15001,40000
15001,30000
15005,30000
15010,50000
15010,40000
15012,20000
15015,40000
15017,30000
15017,10000
15024,50000
15033,20000
15042,40000
15044,30000
15044,40000
15061,40000
15066,40000
15068,30000
15071,40000
15071,10000
15074,20000
15084,30000
15090,20000
15101,40000
15101,20000
15101,50000
15102,10000
15102,50000
15108,50000
15116,20000
15120,10000
15120,10000
15120,30000
15120,20000
15122,10000
15122,10000
15122,20000
15122,10000
15131,10000
15131,50000
15136,30000
15136,40000
15136,50000
15137,50000
15139,40000
15143,50000
15143,10000
15146,40000
15146,50000
15147,40000
15147,70000
15147,50000
15201,40000
15201,10000
15201,40000
15203,10000
15203,10000
15205,40000
15206,40000
15206,20000
15206,30000
15206,10000
15206,30000
15206,50000
15206,50000
15206,40000
15206,40000
15207,20000
15208,30000
15209,30000
15210,20000
15210,50000
15211,10000
15211,20000
15211,30000
15211,10000
15212,30000
15212,30000
15212,30000
15212,30000
15212,50000
15212,40000
15213,10000
15213,10000
15213,40000
15213,50000
15213,50000
15215,20000
15215,10000
15216,30000
15216,30000
15216,10000
15217,10000
15217,10000
15217,10000
15217,20000
15217,20000
15217,10000
15217,10000
15217,20000
15217,40000
15217,40000
15217,10000
15217,20000
15219,10000
15220,10000
15220,30000
15221,20000
15221,50000
15221,10000
15222,30000
15222,10000
15224,10000
15226,10000
15226,10000
15227,10000
15227,50000
15228,30000
15228,30000
15228,20000
15232,50000
15232,50000
15232,20000
15232,50000
15232,20000
15235,10000
15235,40000
15235,50000
15235,40000
15236,20000
15236,20000
15237,40000
15237,30000
15237,40000
15237,40000
15237,10000
15238,10000
15238,20000
15241,20000
15241,50000
15241,30000
